addr,balance
0xde8875dab118235f74707aa7a44d82180a088c06,333000000000000000
0xe69e278f9464e48bc676dcfaee2c47645744d660,445304913767322
0x86a56ac7d5773c339d139c196d79d29fe386d895,10332170272156317
0x87f357f24bd9836621a6d1ad5a52888c5ca2be6d,10332198156611804
0x02000c5a19d81782a473fc00d91a39d9d2a091b4,10313177664092798
0x0b3181786fe6ee88f2d27ee3a9ebd51c1318abfa,10313029608214536
0x97b39b89cac12c8cd194fd6849d233756a67dc46,10330375834911774
0x948c0f38c67f74147b685489bfeac20893c14184,10268168677100988
0x96c6b6594c2de3bf124266b15ae0450ffb8f4788,10268168677100988
0x2de466cd9d34e03a14b7435608debbad74f7ebb4,797727344502324
0x09cfe9a75158fcdd3e1c32e4c84f1d00e4732c01,10000000000000000
0xed6b95dfc7c75eaed4f6fab2912509e66edbf152,10268168677100988
0xefe49b15744c76254e3d0b3fa528d672619bca2a,10268168677100988
0xf1e5412126c18178d0c5b909cd40502d7f0652f1,10332198156611804
0x05201796e81566bbb2397348ffef2aefd55e3b88,10331970890240256
0x3cc625c05a0250874c74a25ebd721329365f7410,1706801065197888
0x416bf62c8bb752b7a5b3e616a2f22891184a67bd,926999999995000
0xbe373d71902872d154cd7b0c389910627d44c204,614694447213639
0xcea7995aee535123fecd08945cd858802f43bfd7,10661784375433457
0x0ca8786842fbabb8cf55fe9fb4bae05dadbd0bac,9969095803010668
0x191a9ea8d9e85faae4ea02ff0b444fb84ce2fb84,998104303930360000
0x26137dcbe73e811525a33ec067bd0dad99725ddb,103455000000000000000
0x2ffd72e5e5cfc75a7753903fea1a480678807d52,10313129299172566
0x40c8b0ef2998683d2a9c26e99a19840b5e37e231,103455000000000000000
0x5dfaaae86278a463f941b79ebeb31f648e3ee519,270000000000000000
0xbabcb47487e92ac2effb6d36b554af31e1658b42,10332170272156317
0xc93a5f8c5b6f6b49c503261df6de14f9f991d0d6,10332170272156317
0xe1a70d75ad830cd4a9b6720b74263133d7f29c4f,10332170272156317
0xe318fa7d6a8022bb4d10b75138e5fef51ae6759a,10268168677100988
0x3e64563c43664225d1342dfcfbf014775ebe9dd8,10313129299172566
0xa87a6017687f5d7607a4dde37624fa8eec9b0d45,10332198156611804
0x5fc1be189986466cb0487ae95a1f105aedcd48a9,614694447213639
0x07e94abd471acd997c2bf45e8d2e302b32edfded,10312585440579748
0x75b17cc9da3d4e540f866974c1b52ebbc51a5c14,10268168677100988
