addr,balance
0xa637362fb13140377721cd7dee2593f5d6f3ac91,6166495300000000000
0xada68c586b77ab271a858a73d47c634915402841,99999999993623
0xc3af64f15c4a5d6772c320b2d523b889878ba145,67239820039000000000
0x1b3529cec0bd2760d2ef184b15f1b2a16e79c77e,103451485148514851485
0x2c7fa34db88c3df0d3ba53e216d3d6d85e283701,427833330000000000000
0x86236b181ea6da9710361d23528b42b404a2a498,1000000000000000000000
0xa7f7cc9ac3ff9d24c9e4e64fd3fa5168b9415fd3,103642279708973306930
0xd1643569a22521ac65ec4d6db36d8438ae62531e,696773472615868616
0xfe924cf73f5024c5ea2779e1a9840bb766621a02,8666303670000000000
0x0a6c89aa3367bcbeed68d5b4122c0d07e9d6412f,103450495049504950495
0x34d2868928f1b1e582ca936b8b4c707b950d203b,2255407030096441178
0x3e1daf2c9477d7b0c9e8500180e80d7ef93584d8,2386500971442118151126
0x49d9bd0d03580e83a99e11b26803fd71c6fa5989,103642279708973306930
0xac3ee6b2c233ca20065f95bb744ff20c98bdb70e,28294548896804243083
0xba00168bd8d24fde082c3b2abc07720766c3e5bf,100000000000000000000
0xd47c41a290415b85e2c850812481e2bd7cd24abc,103642279708973306930
0xf92a09e6359d69d9ec1e51d3ee8830f03aba6646,103642279708973306930
0x1a05f1e4439d682a1916d20f27d1b1610591de46,103642279708973306930
0x1ef5b7c7d91ada52a5f4e32085f4adfad5ec3f6a,100000000000000000000
0x87813840d3f4b872b17590d6b672c3579c68a99f,100000000000000000000
0x97a194c2560ca05505fe7299c934a18cc1493b49,6166495375000000000
0xc49b6c714feaf22b12eb02a01521dab6edd1fcbd,967
0xdf8dff7d8e7c4e0445ed441f420ae08997830c5e,1
0x059dd7d375832a9f44f82514cddce465626c1c6d,35238702904878696263
0x86321cd19455c67b547023b0b8d8b49669a5da9b,2500000000000000000000
0x0a7bc8214805a1c9ac0f5c9b0aa73d10518281bb,53491827629999996000
0x59e486aeafd43c3563f4179ca6e19f5e306d4938,103642279708973306930
0x659aa1a3e4781d005795f985ea21cd50ce3f785b,5687706724
0xdfd2a2f0ddb585c572235acdb7acf2c48caeed9c,103642279708973306930
0x0e7cdb5ff1ea75c5cc320b88b0c932ad3ec65139,5127164246416637824
0x666845b8742526620e927291dca196979b9284f9,116700000000000000000
0x238d968a7e6755469c8a4fdd2ce115dcde5e3a09,105292536889600000000
0x369e71d8bf9f500c2304fbd4289469b204a87d24,103451485148514851485
0xcf0c3fc75a69b936800f0171d12cd45618caebb5,1649400000000000000000
0xf2af3cc747a9aeae83c360795a384dea863fbd8f,100000000000000000000
